N,K,|V|,num_components,size_largest,frac_largest,diameter_est,avgdist_est,note
3,0,1,1,1,1.0,0,0.0,exact-sampled
3,1,3,1,3,1.0,2,1.3333333333333333,exact-sampled
3,2,5,1,5,1.0,4,2.0,exact-sampled
3,3,6,1,6,1.0,3,1.8,exact-sampled
4,0,1,1,1,1.0,0,0.0,exact-sampled
4,1,4,1,4,1.0,2,1.5,exact-sampled
4,2,9,1,9,1.0,4,2.388888888888889,exact-sampled
4,3,15,1,15,1.0,6,2.895238095238095,exact-sampled
4,4,20,1,20,1.0,7,3.163157894736842,exact-sampled
5,0,1,1,1,1.0,0,0.0,exact-sampled
5,1,5,1,5,1.0,2,1.6,exact-sampled
5,2,14,1,14,1.0,4,2.6153846153846154,exact-sampled
5,3,29,1,29,1.0,6,3.4334975369458127,exact-sampled
5,4,49,1,49,1.0,8,4.154761904761905,exact-sampled
5,5,71,1,71,1.0,10,4.648857142857143,exact-sampled
6,0,1,1,1,1.0,0,0.0,exact-sampled
6,1,6,1,6,1.0,2,1.6666666666666667,exact-sampled
6,2,20,1,20,1.0,4,2.7736842105263158,exact-sampled
6,3,49,1,49,1.0,6,3.770408163265306,exact-sampled
6,4,98,1,98,1.0,8,4.7748453608247425,exact-sampled
6,5,169,1,169,1.0,10,5.535238095238095,exact-sampled
6,6,259,1,259,1.0,12,6.328372093023256,exact-sampled
7,0,1,1,1,1.0,0,0.0,exact-sampled
7,1,7,1,7,1.0,2,1.7142857142857142,exact-sampled
7,2,27,1,27,1.0,4,2.8945868945868947,exact-sampled
7,3,76,1,76,1.0,6,4.0389333333333335,exact-sampled
7,4,174,1,174,1.0,8,5.132485549132948,exact-sampled
7,5,343,1,343,1.0,10,6.1352631578947365,exact-sampled
7,6,602,1,602,1.0,12,7.064758735440932,exact-sampled
7,7,961,1,961,1.0,14,7.775833333333333,exact-sampled
8,0,1,1,1,1.0,0,0.0,exact-sampled
8,1,8,1,8,1.0,2,1.75,exact-sampled
8,2,35,1,35,1.0,4,2.991596638655462,exact-sampled
8,3,111,1,111,1.0,6,4.147818181818182,exact-sampled
8,4,285,1,285,1.0,8,5.242183098591549,exact-sampled
8,5,628,1,628,1.0,10,6.58762360446571,exact-sampled
8,6,1230,1,1230,1.0,12,7.593458096013019,exact-sampled
8,7,2191,1,2191,1.0,14,8.635007610350076,approx-sampled
8,8,3606,1,3606,1.0,16,9.64914470642626,approx-sampled
9,0,1,1,1,1.0,0,0.0,exact-sampled
9,1,9,1,9,1.0,2,1.7777777777777777,exact-sampled
9,2,44,1,44,1.0,4,3.0718816067653276,exact-sampled
9,3,155,1,155,1.0,6,4.429350649350649,exact-sampled
9,4,440,1,440,1.0,8,5.615125284738041,exact-sampled
9,5,1068,1,1068,1.0,10,6.809559512652296,exact-sampled
9,6,2298,1,2298,1.0,12,7.905528950805398,approx-sampled
9,7,4489,1,4489,1.0,14,8.907048425430778,approx-sampled
9,8,8095,1,8095,1.0,13,8.363366666666666,approx-sampled
9,9,13640,1,13640,1.0,13,8.276183333333334,approx-sampled
