N,K,|V_K|,largest_component_size,spectral_gap
3,0,1,1,0.0
3,1,3,3,0.9999999999999999
3,2,5,5,0.2928932188134523
3,3,6,6,0.4999999999999998
4,0,1,1,0.0
4,1,4,4,1.0
4,2,9,9,0.1835034190722739
4,3,15,15,0.18350341907227413
4,4,20,20,0.14250599690669427
4,5,23,23,0.15100625059460948
4,6,24,24,0.19526214587563462
5,0,1,1,0.0
5,1,5,5,1.0
5,2,14,14,0.17733561199196338
5,3,29,29,0.12462204625893501
5,4,49,49,0.0949282176179013
5,5,71,71,0.08405650047192478
5,6,91,91,0.0792849305308881
5,7,106,106,0.08164970937943504
5,8,115,115,0.08398483738542445
5,9,119,119,0.09016045862525246
5,10,120,120,0.09549150281252629
6,0,1,1,0.0
6,1,6,6,0.9999999999999999
6,2,20,20,0.1864870014099416
6,3,49,49,0.1128124571131294
6,4,98,98,0.07573304484242774
6,5,169,169,0.061128719901797815
6,6,259,259,0.05508312870854666
6,7,360,360,0.051115915462915884
6,8,461,461,0.047673575176323015
6,9,551,551,0.04682840776506792
6,10,622,622,0.047758635616070376
6,11,671,671,0.0490361181821511
6,12,700,700,0.050510319339136765
6,13,714,714,0.051868143526090184
6,14,719,719,0.05308848686411186
6,15,720,720,0.05358983848622473
7,0,1,1,0.0
7,1,7,7,0.9999999999999998
7,2,27,27,0.1972935983204032
7,3,76,76,0.11111819196375455
7,4,174,174,0.07171644917878034
7,5,343,343,0.05288573280213276
7,6,602,602,0.04365362122510597
7,7,961,961,0.03856940094639835
7,8,1416,1416,0.03551570317263987
7,9,1947,1947,0.03331121249150814
7,10,2520,2520,0.031782590285135394
7,11,3093,3093,0.03030541086845986
7,12,3624,3624,0.02976796167306951
7,13,4079,4079,0.02987913182498885
7,14,4438,4438,0.030370998617038517
7,15,4697,4697,0.030937188133818603
7,16,4866,4866,0.031533000674208875
7,17,4964,4964,0.03202612177650731
7,18,5013,5013,0.03248732248239356
7,19,5033,5033,0.03281016003978102
7,20,5039,5039,0.03296630070033666
7,21,5040,5040,0.03301037736586
8,0,1,1,0.0
8,1,8,8,0.9999999999999998
8,2,35,35,0.20708774869360635
8,3,111,111,0.11248542662053035
8,4,285,285,0.07233767773253795
8,5,628,628,0.051138247649425164
8,6,1230,1230,0.03985294879973473
8,7,2191,2191,0.03329402293376555
8,8,3606,3606,0.02921760944460501
8,9,5546,5546,0.02649412067819395
8,10,8039,8039,0.02456952084755503
8,11,11056,11056,0.02317246100238574
8,12,14506,14506,0.022160950827120617
8,13,18242,18242,0.021395551864485777
8,14,22078,22078,0.02060726057389573
8,15,25814,25814,0.020155719729862392
8,16,29264,29264,0.019990472470455635
8,17,32281,32281,0.020045567636956193
8,18,34774,34774,0.02026184998659688
8,19,36714,36714,0.020531077209382482
8,20,38129,38129,0.02079301071498186
8,21,39090,39090,0.021039406274149484
8,22,39692,39692,0.021257757121325865
8,23,40035,40035,0.02144742799027539
8,24,40209,40209,0.02159116293937386
8,25,40285,40285,0.02168268206305339
8,26,40312,40312,0.02172838261541625
8,27,40319,40319,0.021745043330932537
8,28,40320,40320,0.021748704996775482
