N,K,V,E,diameter,d/K,d/(N-1),is_K_N_minus_2,d_equals_2K
3,0,1,0,0,inf,0.0,False,False
3,1,3,2,2,2.0,1.0,True,True
3,2,5,4,4,2.0,2.0,False,True
3,3,6,6,3,1.0,1.5,False,False
4,0,1,0,0,inf,0.0,False,False
4,1,4,3,2,2.0,0.6666666666666666,False,True
4,2,9,9,4,2.0,1.3333333333333333,True,True
4,3,15,18,6,2.0,2.0,False,True
4,4,20,27,7,1.75,2.3333333333333335,False,False
4,5,23,33,6,1.2,2.0,False,False
4,6,24,36,6,1.0,2.0,False,False
5,0,1,0,0,inf,0.0,False,False
5,1,5,4,2,2.0,0.5,False,True
5,2,14,16,4,2.0,1.0,False,True
5,3,29,40,6,2.0,1.5,True,True
5,4,49,76,8,2.0,2.0,False,True
5,5,71,120,10,2.0,2.5,False,True
5,6,91,164,11,1.8333333333333333,2.75,False,False
5,7,106,200,10,1.4285714285714286,2.5,False,False
5,8,115,224,10,1.25,2.5,False,False
5,9,119,236,10,1.1111111111111112,2.5,False,False
5,10,120,240,10,1.0,2.5,False,False
6,0,1,0,0,inf,0.0,False,False
6,1,6,5,2,2.0,0.4,False,True
6,2,20,25,4,2.0,0.8,False,True
6,3,49,75,6,2.0,1.2,False,True
6,4,98,170,8,2.0,1.6,True,True
6,5,169,320,10,2.0,2.0,False,True
6,6,259,525,12,2.0,2.4,False,True
6,7,360,770,14,2.0,2.8,False,True
6,8,461,1030,16,2.0,3.2,False,True
6,9,551,1275,16,1.7777777777777777,3.2,False,False
6,10,622,1480,15,1.5,3.0,False,False
6,11,671,1630,15,1.3636363636363635,3.0,False,False
6,12,700,1725,15,1.25,3.0,False,False
6,13,714,1775,15,1.1538461538461537,3.0,False,False
6,14,719,1795,15,1.0714285714285714,3.0,False,False
6,15,720,1800,15,1.0,3.0,False,False
