N,K,is_K_N_minus_2,avg_convergence,success_rate,trajectory_variance,num_minima,constraint_density,state_reduction,effective_dof,V_K,num_attractors,uniqueness,max_basin
3,0,False,0.0,1.0,0.0,1,0.0,0.16666666666666666,0.0,1,1,1.0,1.0
3,1,True,0.69,1.0,0.21389999999999995,1,0.3333333333333333,0.5,1.0986122886681098,3,1,1.0,1.0
3,2,False,1.1933333333333334,1.0,0.5492888888888888,1,0.6666666666666666,0.8333333333333334,1.6094379124341003,5,1,1.0,1.0
3,3,False,1.4366666666666668,1.0,0.8059888888888889,1,1.0,1.0,1.791759469228055,6,1,1.0,1.0
4,0,False,0.0,1.0,0.0,1,0.0,0.041666666666666664,0.0,1,1,1.0,1.0
4,1,False,0.7733333333333333,1.0,0.17528888888888888,1,0.16666666666666666,0.16666666666666666,1.3862943611198906,4,1,1.0,1.0
4,2,True,1.4766666666666666,1.0,0.45612222222222215,1,0.3333333333333333,0.375,2.1972245773362196,9,1,1.0,1.0
4,3,False,1.9933333333333334,1.0,0.7732888888888889,1,0.5,0.625,2.70805020110221,15,1,1.0,1.0
4,4,False,2.6133333333333333,1.0,1.2638222222222222,1,0.6666666666666666,0.8333333333333334,2.995732273553991,20,1,1.0,1.0
4,5,False,2.8766666666666665,1.0,1.7547888888888892,1,0.8333333333333334,0.9583333333333334,3.1354942159291497,23,1,1.0,1.0
4,6,False,3.0033333333333334,1.0,1.869988888888889,1,1.0,1.0,3.1780538303479458,24,1,1.0,1.0
5,0,False,0.0,1.0,0.0,1,0.0,0.008333333333333333,0.0,1,1,1.0,1.0
5,1,False,0.8033333333333333,1.0,0.1579888888888889,1,0.1,0.041666666666666664,1.6094379124341003,5,1,1.0,1.0
5,2,False,1.61,1.0,0.3312333333333333,1,0.2,0.11666666666666667,2.6390573296152584,14,1,1.0,1.0
5,3,True,2.38,1.0,0.6022666666666667,1,0.3,0.24166666666666667,3.367295829986474,29,1,1.0,1.0
5,4,False,2.9433333333333334,1.0,0.946788888888889,1,0.4,0.4083333333333333,3.8918202981106265,49,1,1.0,1.0
5,5,False,3.5833333333333335,1.0,1.5030555555555554,1,0.5,0.5916666666666667,4.2626798770413155,71,1,1.0,1.0
5,6,False,4.18,1.0,2.0209333333333332,1,0.6,0.7583333333333333,4.51085950651685,91,1,1.0,1.0
5,7,False,4.6433333333333335,1.0,2.782788888888889,1,0.7,0.8833333333333333,4.663439094112067,106,1,1.0,1.0
5,8,False,4.773333333333333,1.0,3.088622222222222,1,0.8,0.9583333333333334,4.74493212836325,115,1,1.0,1.0
5,9,False,5.026666666666666,1.0,3.3126222222222226,1,0.9,0.9916666666666667,4.77912349311153,119,1,1.0,1.0
5,10,False,5.04,1.0,3.4517333333333333,1,1.0,1.0,4.787491742782046,120,1,1.0,1.0
6,0,False,0.0,1.0,0.0,1,0.0,0.001388888888888889,0.0,1,1,1.0,1.0
6,1,False,0.8366666666666667,1.0,0.13665555555555556,1,0.06666666666666667,0.008333333333333333,1.791759469228055,6,1,1.0,1.0
6,2,False,1.6533333333333333,1.0,0.2931555555555555,1,0.13333333333333333,0.027777777777777776,2.995732273553991,20,1,1.0,1.0
6,3,False,2.493333333333333,1.0,0.4366222222222222,1,0.2,0.06805555555555555,3.8918202981106265,49,1,1.0,1.0
6,4,True,3.3,1.0,0.7633333333333333,1,0.26666666666666666,0.1361111111111111,4.584967478670572,98,1,1.0,1.0
6,5,False,3.9433333333333334,1.0,1.0401222222222224,1,0.3333333333333333,0.23472222222222222,5.1298987149230735,169,1,1.0,1.0
6,6,False,4.806666666666667,1.0,1.5892888888888888,1,0.4,0.3597222222222222,5.556828061699537,259,1,1.0,1.0
6,7,False,5.326666666666667,1.0,2.193288888888889,1,0.4666666666666667,0.5,5.886104031450156,360,1,1.0,1.0
6,8,False,5.956666666666667,1.0,2.494788888888889,1,0.5333333333333333,0.6402777777777777,6.133398042996649,461,1,1.0,1.0
6,9,False,6.34,1.0,3.537733333333333,1,0.6,0.7652777777777777,6.311734809152915,551,1,1.0,1.0
6,10,False,6.8966666666666665,1.0,3.679322222222223,1,0.6666666666666666,0.8638888888888889,6.432940092739179,622,1,1.0,1.0
6,11,False,7.3133333333333335,1.0,4.74848888888889,1,0.7333333333333333,0.9319444444444445,6.508769136971682,671,1,1.0,1.0
6,12,False,7.55,1.0,4.8275,1,0.8,0.9722222222222222,6.551080335043404,700,1,1.0,1.0
6,13,False,7.706666666666667,1.0,6.213955555555557,1,0.8666666666666667,0.9916666666666667,6.570882962339584,714,1,1.0,1.0
6,14,False,7.73,1.0,6.590433333333333,1,0.9333333333333333,0.9986111111111111,6.577861357721047,719,1,1.0,1.0
